playerid,playername,position
b0a6c7cd-fa8d-428d-83e6-b3d00166f741,Israel Leota,Outside Back
32cf4106-84a9-435e-a556-b3d0015e9dce,Issak Fines-Leleiwasa,Half Back
e90c606a-0f69-413d-b8b2-b3d0015ea2bb,Jack Bowen,Fly Half
489015bd-b453-4b00-9c71-b3ee010617da,Jack Daly,Loose Forward
8a2e74a4-5e60-453b-96d4-b3d0015ec3a7,Jack Debreczeni,Fly Half
62b8bee7-13a7-4149-bba2-b3d0015e926f,Jackson Garden-Bachop,Fly Half
bf4f7afe-d886-467b-96a5-b3d00159b718,Jacob Ratumaitavuki-Kneepkens,Outside Back
1008bf4b-4b67-4b75-9211-b3d0015ec09d,Jahrome Brown,Loose Forward
6c625a52-ade7-4006-a63b-b3d0015eb535,Jake Gordon,Half Back
e87003b9-1521-4fdf-acff-b3d00166afef,Jake Te Hiwi,Midfielder
d5b95252-ca76-479d-a055-b3d00166f8d4,James Cameron,Midfielder
4295162f-3c89-49fa-bc13-b3d00166fa34,James Hendren,Outside Back
95d8f9f7-5029-446e-b218-b3ee0105fedd,James Martens,Half Back
694f517a-15b3-4129-9b52-b3d00166fb6e,James White,Fly Half
d7925778-5918-4809-91bc-b3d0015e8642,Jamie Adamson,Loose Forward
c2130795-ace3-4abb-911d-b3d0015eaf13,Jamie Hannah,Lock
7cf4fbb2-4682-4b50-9b66-b3d00166fcb6,Jarrah McLeod,Midfielder
06c089d6-8103-491b-904e-b3d00166fdf0,Jayden Sa,Lock
37e917f2-f3b6-4ac2-9ed0-b42600ffd3bc,Jed Melvin,Loose Forward
9e919534-e973-4e9b-a49e-b3d00159f644,Jeremy Williams,Lock
762d1622-2844-4667-a52d-b3d00166aa0a,Jimmy Tupou,Lock
ba7fd7ab-a552-4469-ba85-b3d00159dbf8,Jock Campbell,Outside Back
f9ff0d68-4dbd-43e1-9de1-b3d00159c7af,Joe Brial,Loose Forward
83231708-c8a9-4741-9583-b3d00166ff17,Joe Dillon,Fly Half
02762e76-7f7b-45a6-9a49-b403010fc8bc,Joel Lam,Half Back
ffa38fb9-1e44-41f4-8e2a-b3d00159dfa7,Joey Walton,Midfielder
e7cd3291-40b3-45b0-8fcf-b3d0015eb9c0,John Bryant,Loose Forward
7d732f5b-9718-42ef-b079-b40a0111c2ab,Johnny Lee,Loose Forward
c5914c92-0710-44fd-a4fe-b3d0015e76c9,Johnny McNicholl,Outside Back
4341a8b2-7eff-4fcb-a206-b3d001670064,Joji Nasova,Midfielder
05ab9229-6883-44cf-8078-b3d00159de63,Jona Nareki,Outside Back
c406da85-c244-4aa6-b32d-b3d00159f068,Jonah Lowe,Outside Back
a17bf421-5250-4a02-93b3-b3d0015a060c,Jonathan Taumateine,Half Back
ac215118-1238-4743-9f27-b3d0015ebcbc,Jone Rova,Midfielder
e211b3d5-0443-4102-b821-b3d00166c94b,Jordi Viljoen,Half Back
d0053d67-f6a7-4716-800a-b3d001670190,Jordie Barrett,Midfielder
ac921d22-30e1-44f7-bef2-b3d00159c0c3,Joseph-Aukuso Suaalii,Midfielder
9b1a624d-bb6b-42d8-90cf-b3d0015e70fb,Joseva Tamani,Loose Forward
dcf0e7fd-d4e5-421e-a674-b3d00159fc6b,Josh Beehre,Lock
1b8081cb-dda9-4865-a907-b3d0015e52b2,Josh Canham,Lock
95fe1705-0d4d-4abe-91c9-b3d0015e68f6,Josh Flook,Midfielder
883d8f73-11d6-497e-a1c6-b434011215b9,Josh Gray,Outside Back
411ee8e6-cb93-419d-bb95-b3d00159ca02,Josh Jacomb,Fly Half
1075d638-af11-402b-9fae-b3d0015eb404,Josh Lord,Lock
03d9d4f4-bee2-4cbb-b279-b3d0016702d8,Josh Moorby,Outside Back
29fd63a1-a5c2-4c1e-9775-b3d0016703f6,Josh Timu,Midfielder
a190f5ce-efc3-49db-81e1-b3d0016aaa18,Josh Whaanga,Outside Back
b6bd3d55-2689-48c3-9e6d-b3d0015e851b,Julian Savea,Midfielder
3639b9a4-4f84-4455-a978-b3d00166ac95,Kade Banks,Outside Back
f52b23eb-dd0f-4c2b-a1c8-b3d0016aa673,Kadin Pritchard,Midfielder
bd2421fc-fe19-4e0e-8730-b3d0015e44db,Kalani Thomas,Half Back
347a4a75-537f-499c-b5a8-b3d0015e99fb,Kane Koteka,Loose Forward
9de60f9e-3f50-4611-aecd-b3d0015e5051,Kaylum Boshier,Loose Forward
c7e92112-b29d-4855-adc0-b3d00166c59d,Kemu Valetini,Fly Half
9b4df66b-ddec-466d-ac95-b3d00159a791,Kini Naholo,Outside Back
b25b4120-2f91-4748-8f35-b3d0015e5a63,Kitione Salawa,Loose Forward
a6e59a24-ae33-4984-85c5-b3d00166aeba,Klayton Thorn,Half Back
1fa01e1d-d7c0-4d37-95b9-b3f5012422bb,Konrad Toleafoa,Loose Forward
6ef8a63f-1750-4222-8b6a-b411011ad237,Kurtis MacDonald,Outside Back
384f86a9-6b73-447c-9144-b3d0015e9635,Kurtley Beale,Outside Back
5b6b7740-de80-497b-9e8d-b3d001670580,Kye Oates,Midfielder
0289a444-00c3-47b6-ad35-b3d0016706cd,Kyle Brown,Midfielder
0529f64b-fa64-45c5-aaa1-b3d0015e6f97,Kyle Preston,Half Back
c663542c-a8d6-41cc-b7ad-b3d00159a3ec,Kyren Taumoefolau,Outside Back
1d913769-941f-4ba8-aefe-b3d00159ac58,Lachie Anderson,Outside Back
e3611de9-3e6e-4a61-ba21-b3d001670802,Lachlan Hooper,Loose Forward
27c781a5-8b45-430c-acec-b3d0015e89a1,Lachlan Shaw,Lock
110f1ccf-a15a-4050-994e-b3d0015e8e01,Laghlan McWhannell,Lock
45f1f02e-7c0c-4e33-a468-b3d0015e7280,Lalakai Foketi,Midfielder
dfc54e5e-d993-485a-8990-b3d00159ebaa,Lalomilo Lalomilo,Midfielder
003cf583-8db2-4739-b051-b3d00159f521,Lawson Creighton,Fly Half
d41ab125-6641-4b9b-aaf8-b3d0015e93f5,Leafi Talataina,Loose Forward
7125c6bc-11b1-40c5-946a-b3d001670953,Leicester Fainga'anuku,Midfielder
f8deefb3-98b9-4368-87cf-b3d001670a89,Leo Jaques,Outside Back
d51ea549-7a0b-4c88-8d9e-b3d0015996de,Leroy Carter,Outside Back
1f16e80e-5f15-49f8-931f-b3d001670bc3,Liam Coombes-Fabling,Outside Back
bdb72539-a44c-4c7c-88a1-b3d001670d06,Liam Jack,Lock
093e3cab-e5f9-4b6c-ac8a-b3d00166cbbb,Lopeti Faifua,Lock
82dee695-db7a-430a-aec2-b3d001670e40,Louie Chapman,Half Back
735c33fc-6660-4566-95f0-b3d0016aa7b6,Louis Werchon,Half Back
0ecc56a7-aa85-43f8-8f7c-b3ee0105fc10,Lucas Casey,Loose Forward
